name,line
Traveler," No, Xiao... They are all heroes."
 Xiao, Heroes...
 Xiao, ...I like that word.
 Xiao," Maybe the world will never be free of disaster. But there is good in the world, too. Even the darkest hearts have room for those they cherish."
 Xiao," I accept your advice. From this day on, heroes will always look out for each other."
 Xiao, I was purging some living beings that had been tainted by the demonic. It would appear that I have caused you some trouble.
 Traveler," But you were exorcizing demons, how is that causing trouble?"
 Xiao," That is because the changes that occurred in these monsters stem from me — or more precisely, from the karma I have accumulated."
 Traveler," Mutations, karma... Does that mean...We read about that in the book...So Xiao is the final yaksha?"
 Traveler,I remember that Xiao is also called the Vigilant Yaksha...So... so that means... Aww...*sniff* P—Poor Xiao...
 Xiao, ...What are you doing here?
 Traveler, Huh? Xiao... Are you here for the festival?
 Xiao, I have no interest in Lantern Rite.
 Xiao, I sensed a malign influence here. I'm here to investigate.
 Xiao," When a shackle is loosened in the realms of deities and demons, I take full responsibility."
 Xiao," But this time, the threat comes from the mortal world — your world. Thus you shall take full responsibility, mortal traveler."
 Xiao," When the time comes, I hope you shall act promptly and decisively..."
 Xiao, I do not wish for the tassel of the polearm that has slaughtered countless demons to become stained with mortal blood.
 Traveler, What's this?
 Xiao, A symbol that your suspected evildoer left behind.
 Xiao," Well, you will have to show me how much you can accomplish on your own strength."
 Xiao," Because if I become involved, there is a possibility that the streets of Liyue Harbor will be painted red this Lantern Rite."
Traveler," Then it's up to me to avoid that... Actually, quite a festive color in this part of the world..."
Xiao, ...I am not partial to crowded areas. Especially at this time of the year.
 Xiao, When this matter is resolved... come to Wangshu Inn.
 Xiao," In previous years, the Mingxiao Lantern has been visible even from there."
 Xiao," So, is the matter resolved?"
Traveler," We took care of it, but—"
 Xiao, —Good.
Traveler, Are you really not going to see the Mingxiao Lantern?
 Xiao," No. As I said, I am not partial to crowded areas. Especially at this time of the year."
Traveler, The Mingxiao Lantern this year is Skybracer.
 Paimon," Yeah, it's a super impressive-looking giant deer, let's go take a look together!"
 Xiao," ""Skybracer..."""
 Xiao," Huh, a Mingxiao Lantern nonetheless. A fleeting creation of human hand. It means nothing to me."
 Xiao," If this short-lived spectacle is one you wish to witness, I suggest you go to the city. I, for one, have no interest in the Lantern Rite."
Traveler,"Ta-da! Your very own, miniature Lantern Rite festival! Well if it doesn't look mouth-watering..."
 Xiao, So this is what you meant by bringing the festival to me... *sigh* Is there no end to the peculiarities of human behavior?
 Xiao, Does this serve any grander purpose?
Traveler, This way you can take part in Lantern Rite.
Traveler, Lantern Rite is meant to include everyone.
 Xiao," ...Is that so? Hmph, human motives defy my attempts to fathom them."
Traveler, Nobody says you have to enter the city... You can just see us off at the outskirts.
 Xiao, ...
 Xiao, ...Hmph.
 Xiao, So be it. I shall accept your proposal.
 Traveler," There you go! Alright, time to hit the road!"
 Traveler,You are obviously one of the heroes this festival is all about... Why don't you wanna get involved?
 Xiao, I... detest the rabble.
 Xiao," No cares in the world, so peaceful, so joyful... They are nothing like me."
 Xiao," Too long have I spent slaughtering, accompanied by the burden of suffering that follows in its wake. Crossing paths with all those jubilant people will only make me..."
 Xiao, ...That's all I have to say.
 Xiao, Farewell.
Traveler, Are you sure you don't want to go with us?
 Xiao, Are you really so enamored with such trivial amusements?
  Zhongli, I see... so the important guest is the Conqueror of Demons. I've been looking forward to meeting you.
 Zhongli," The director didn't mention anything when she invited us. What a pleasant surprise... Gathered here with us tonight are not only young and accomplished individuals, but also the protector of Liyue's peace, Adeptus Alatus."
 Zhongli, To convene here with all of you is indeed a great honor.
 Xiao, Uhhh...
 Xiao," ...It's almost Lantern Rite, yet you took all the trouble coming here..."
 Zhongli, *sigh* The director has a way of making it difficult to decline...
 Xiao, Rex Lapis... May I ask what troubles you?
 Zhongli, The director asked me to buy sesame oil in preparation for the celebrations.
 Xiao, ...?
 Xiao, Then why would you... come all the way to Wangshu Inn...
 Zhongli, I had a pleasant chat with Chef Yanxiao and received some spices from him. And... see? Here's some matsutake and a portion of ham.
 Xiao, What about the sesame oil...
 Zhongli, Mm... It's a shame. I couldn't find the kind the director was looking for.
 Xiao," I'm sure you're exaggerating, Zhong— Ahem, Sir."
 Hu Tao," Ugh, there he goes again! Enough with the pleasantries. Go let our guest take a seat."
 Hu Tao," Everyone here today is well-known in their own field and has probably heard about one another to some extent. Some of us are even old acquaintances, so there's no need to be this formal."
 Hu Tao," I heard that the Conqueror of Demons and Traveler are pretty close, no?"
 Hu Tao, Great! You two sit together!
 Zhongli," You should take a seat too, Director."
 Hu Tao, Oh? Finally remembered me?
 Hu Tao," When we arrived just now, the hosts at Xinyue Kiosk told me our dishes are almost ready. Perfect timing."
 Hu Tao, Let's not wait any longer and ask them to bring out the food.
 Paimon, Paimon would've never guessed the person Hu Tao went to fetch was Xiao...
 Chongyun, That's also the first I've heard of (Traveler) and Paimon being friends with the Conqueror of Demons.
 Paimon, You know Xiao too?
 Chongyun," ""Knowing"" is a bit of an overstatement. I've always looked up to him."
 Chongyun," You might not know this, Paimon, but we exorcists have worked in close collaboration with the Conqueror of Demons for many generations, dispelling evil together, both in the open and from the shadows."
 Chongyun," Hard to imagine that thanks to Hu Tao, I've finally gotten the chance to meet him... Conqueror of Demons, I am honored to make your acquaintance."
 Xiao, Likewise.
 Xingqiu, It is a great honor indeed to have a chance to meet the legendary Conqueror of Demons. Chongyun has brought that name up quite a few times in the past.
 Xingqiu, I remember you mentioning wanting him to understand the importance of exorcists...
 Chongyun, Ahem!
 Xiangling," Uh, we know each other too!"
 Xiangling, He helped try my dishes during the Masterful Chefs cook-off!
 Xiangling," Hehe, I didn't think we'd have the chance to meet again. Happy Lantern Rite!"
 Xingqiu," No anecdote, however, compares to meeting you in person. I'm Xingqiu, Xiangling and Chongyun's friend. The pleasure is all mine."
 Paimon," Whoa, everyone's getting all formal and polite all of a sudden... Paimon doesn't know what she should say anymore..."
 Paimon," Uh, Adeptus Xiao... Mighty Conqueror of Demons! Please accept Paimon's greetings, too! Belated Happy Lantern Rite!"
 Xiao, There's no need to be so polite.
 Hu Tao, ...Tch!
 Hu Tao," You're right. This was meant to be a nice little get-together between friends, after all. Too much formality kills the atmosphere."
 Hu Tao," I didn't plan this gathering only for everyone to walk on eggshells, ai ya!"
 Paimon," What's your true intention, then...?"
 Hu Tao," A little get-together between friends, sipping the finest tea, and watching lanterns float into the sky. Bidding farewell to the past, and embracing the present with joy."
 Hu Tao, And that is something our consultant would say. I think it deserves a standing ovation.
 Zhongli," Indeed. Exceptional acting skills, Director."
 Hu Tao," As for me, I'm just here to have fun and treat everyone to something good!"
 Hu Tao, We all worked really hard this year. Whether traveling or guiding...
 Hu Tao," Cooking, helping with the family business, exorcising evil spirits, or conquering demons..."
 Hu Tao," And of course, our consultant, who's been helping out at the parlor every now and then."
 Hu Tao, Everyone has done some pretty amazing things.
 Hu Tao," As the one who brought everyone together, it goes without saying that I'm the one most deserving of praise!"
 Paimon," Huh. Sounds kinda self-important, but Paimon thinks it's pretty amazing that she managed to talk Xiao into coming... He rarely ever enters Liyue Harbor, after all."
 Traveler,I'm curious about how she did it.
 Xiao, It wasn't as complicated as you think.
 Hu Tao," ...Okay gotcha, thanks, boss lady!"
 Verr Goldet," It's not boss lady, just boss!"
 Verr Goldet, And there she goes... What a lively girl.
 Hu Tao, Conqueror of Demons! Adeptus Xiaaaaao!
 Hu Tao, Guardian of Wangshu Inn! Hero of Dihua Marsh!
 Hu Tao, I know you're thereeee!
 Xiao, Tch...
 Xiao, Quiet! Do not disturb the peace.
 Hu Tao," Sorry! But you wouldn't show up if I didn't yell your name, would you?"
 Xiao, ...I know you. You're the 77th Director of Wangsheng Funeral Parlor.
 Xiao, Is there something you need?
 Hu Tao," But despite our deep-rooted connection, it still took me quite a while to actually convince him."
Traveler, Was he worried about his karma?
 Hu Tao," You know him pretty well, huh?"
 Xiao," This matter is out of my control, so I need to be cautious."
 Hu Tao," True, but I've kept that in mind too! That's why everyone here today is in one way or another acquainted with elemental power."
 Hu Tao," Besides, it'll only be for a short while as we dine together. There won't be any lasting consequences."
 Xiao, But I didn't... expect there to be so many people.
 Xingqiu," There's no need to worry, Conqueror of Demons. We're not feeling anything unusual so far."
 Xingqiu," Our young exorcist over here is protected by his pure-yang energy, so he's probably the most resilient."
 Xiao, ...
Traveler,You seem pretty quiet today. Is everything okay?
Traveler, Not used to being around so many people?
 Xiao, I'm doing fine.
 Xiao," Not long ago... before Lantern Rite, I met an old friend."
 Xiao," Thanks to his help, things have been a lot more stable than before."
Traveler, That's good to hear. Give everything you don't eat to Paimon.
Hu Tao," Not to brag, but our consultant truly is impressive. His knowledge extends across the stars and the land, and there's nothing throughout history that he doesn't know."
 Hu Tao," From the sophisticated way he speaks, it's hard not to suspect that he could very well be an adeptus in disguise! Hehe."
Xiao, ...
 Hu Tao," Xiao, you're an adeptus! Do you think it might be possible?"
 Xiao, I...
 Xiao," ...Sorry, I'm only good at conquering demons. I'm afraid I don't have much knowledge in that matter."
 Xiao, Are you alright?
Traveler, I should be the one asking you that.
 Xiao, ...
 Xiao, I... it's hard to describe.
Traveler, Unfamiliar with gatherings like this?
 Xiao, It's not that.
 Xiao," There were those among the adepti who loved gatherings and idle chit chat. Sometimes, they would call up a few others for a drink. Even I got dragged along to their gatherings, many times."
 Xiao," The adepti all have their specialties, making most of them proud and arrogant. Everything they say is straight from the heart... It never gets too complicated."
 Xiao, But this time...
Traveler, I understand. It's all Zhongli's fault.
 Xiao, That's not what I meant!
 Xiao, Or perhaps I should say Zhong... Rex Lapis is really good at adapting to human life. You could say that he actually enjoys doing so.
Traveler, I understand. It's all Venti's fault.
 Xiao," N—No, I didn't mean that..."
 Xiao, So you know his true identity. I'll get straight to the point then.
 Xiao," The Anemo Archon is a free spirit, and his temperament is as carefree as the music he plays on the flute. It's easy for a god like him to live in harmony with humans..."
 Xiao, And that's something I might never be able to do.
Traveler, You don't have to be like them.
Traveler, You do you.
 Xiao, Hmm... That does sound like something you would say.
 Xiao, No matter. I know my circumstances.
 Xiao," Whenever I think of the ordinary conversations I've had with you, it feels... strangely novel."
Traveler, Strange in a good way?
 Xiao, Yes.
 Xiao," The parlor director went out of her way with the invitation, so it was difficult to turn her down. I had made mental preparations before agreeing to come."
 Xiao," She told me that all the guests today would be ""acquainted with elemental power,"" and I knew that you would be here."
 Xiao, But I didn't expect the other guests to be...
Traveler, No one would've guessed.
 Xiao, General Kapisas always said that we should live in the present and enjoy every pleasant surprise. Perhaps that's what I should do with what I'm feeling now.
 Xiao, ...But I think he meant designing clothes for those around him.
 Xiao," The clothes were intricately designed, but inconvenient to wear. Brother Bosacius never tried to hide his distaste in front of him."
 Xiao, Rex Lapis did like his designs and even collected quite a few. The outfit he wears now was also designed by General Kapisas himself.
 Xiao, I never saw him wear this during the war. I didn't expect him to start wearing it later.
 Xiangling," Oh, here you are!"
 Xiangling," Um, I'm not intruding, right..."
 Xiao, You're not. What is it?
 Xiangling, Hu Tao saw that everyone's done eating and asked the staff to bring out the desserts.
 Xiangling, Paimon got so anxious that you weren't back yet that she scarfed down her dessert without the usual slurping and munching.
Traveler, But not so anxious that she can't eat. Sounds like she'll be okay.
 Xiangling," To be honest, I was kinda worried too."
 Xiangling," You looked a little restless just now, and I thought you weren't used to the food here and was planning to head back to Wangshu Inn for something Yanxiao made."
 Xiao, You're worrying too much.
Traveler," Xiao, don't pull any Lemniscatic Wind Cyclings on us."
 Xiao, ...Why would I.
 Xiao," Anyway, let's head back."
 Xiangling, Please wait!
 Xiangling, There's another reason why I came looking for you.
 Xiangling," Here, take these. I brought them for you!"
 Xiao, ...Almond Tofu?
 Xiangling, Yup!
 Xiangling," Since the Masterful Chefs competition, you could say that Yanxiao and I are not only competitors, but good friends as well! I visit him at Wangshu Inn sometimes to discuss our cooking."
 Xiangling," I heard him say that the esteemed guest on the roof loves nothing more than a good plate of Almond Tofu, so I learned a thing or two about the dish from him."
 Xiangling," I'll be honest... Before Hu Tao invited everyone, she secretly came looking for me, told me about the guests she planned to invite, and asked me for some suggestions on what she should order."
 Xiangling, So I made a few servings of Almond Tofu for you guys in advance! Take them as a token of gratitude for your support.
 Xiangling," When I told Guoba that I was making these for you, he started eagerly running around the kitchen and helping a lot too!"
 Xiao," Thank you for the trouble, there was no need to..."
Traveler, Ahem...
Xiao, ...I'll take them. Thank you... and Guoba too.
Xiangling, You're welcome!
Xiangling," Oh, the Almond Tofu I made probably tastes and feels a little different from the type Yanxiao cooks. Please let me know if there's any improvements I should make!"
Xiao, Okay.
Xiangling," Hehe, that's all!"
Xiangling," Alrighty, we should head back now. We can't keep Paimon waiting!"
Xiao, Sorry to keep everyone waiting.
Zhongli, Well then...
 Xiao, Rex Lapis...
 Zhongli, Just Zhongli will do.
 Zhongli," I live as a mortal in Liyue Harbor now. I am just one among many who begin work at sunrise, and retire to rest at sundown."
 Zhongli," If we were to consider status and seniority, as Zhongli, I should be respectfully referring to you as Adeptus Xiao."
 Xiao, Heaven forbid!
Traveler, Adeptus Xiao!
 Xiao, ...Not you too!
Traveler, Let's stop teasing him now.
 Zhongli," Haha, I meant what I said."
 Traveler," I really like Xiao...xiao seems like the type of person who, despite being clumsy and not too certain on what to do, is naturally comforting. i mean he can protect you, and he will, along with being warm and sturdy to lean on and cry to. he also makes an amazing listener, where despite trying to help you even if that’s not necessarily what you need, it proves how well he listens and cares. he also would probably sing to you like guizhong used to him, and his voice would be the perfect mix of raspy and soothing, soothing enough in fact to lull you to sleep."
Traveler, Hug me Xiao...
Xiao," You really...The closest you'll be able to get is a quick hug, but even that will not be often. Remember my karmic debt..."
Traveler, Oh Xiao... you came...
Xiao," You're hurt! I don’t want to do something wrong; I will help you, I didn’t want to hurt you more.*So with extreme precision and care, he lifted back her sleeves and the clothing that revealed her wounds. He tore a long strand of the white bandage with his teeth before gently wrapping it around each wound, attempting not to disrupt her sleeping. But it seemed his precision was futile* “Are you hurting? Is something too tight?” "
Traveler, It's fine...
Xiao," If you awake to a knife at your throat, if monsters dig their claws into you, if death comes knocking at your door, call out my name. Adeptus Xiao. I will be here when you call."
Traveler, we should rest for a bit...
Xiao, Reduced to just standing around? How absurd.
Traveler, And what about the bad guys?
Xiao, The damned will sooner die again than lay a hand on me.
Traveler, Ah itś raining again...
Xiao, Demons do not stop for the rain. Move.
Traveler," Look Xiao, itś clear now."
Xiao, The rain stopped? Hmph. I don't concern myself with the weather.
Traveler, I got startled by the rain... and thunders...
Xiao, Many mortals fear lightning... Incomprehensible. Fear of something so common.
Traveler, Lokk Xiao! It's snowing!
Xiao," Once the snow is thick enough, we can eat it."
Traveler, I want to rest a while...
Xiao, We're wasting time. Let's go.
Traveler,I'm hungry...
Xiao, Lunch... We'll go back to Wangshu Inn.
Traveler,"Itś really dark now, it got late very quickly"
Xiao, Night... When the darkness comes to envelope you. Don't stay outside.
Traveler, Is everything ok?
Xiao, I'm far from human. I can't make much of human emotions.
Traveler,"Liyue is sure changing, evreryone moves on..."
Xiao," Liyue is changing. Rapidly... Forget it, it means nothing to me."
Traveler, What about if I change too?
Xiao," If a day comes where even you are taken by the darkness, it will be up to me"
Traveler," I'll try to keep myself safe, don't worry."
Xiao, Do not fall prey to the darkness. I have no mercy.Though perhaps you can stand your ground alone.
Traveler," Oh were you sleeping, cute..."
Xiao, Who's there? Oh... You think I sleep? You have no respect for the ways of the adepti.
Traveler, Will you go to the lintern rite this year?
Xiao,The Lantern Rite? The time for humans to discard their glowing trash into the sea has returned... How childish...Though if you insist... I will go with you.
Traveler,Have you wished for something Xiao?
Xiao, Visions? Desire? Ha. Do not judge adepti by your mortal ideals. I have no desire. I just won't speak of desire to others. Do mortals not have a rule about spoken wishes never coming true? Hm? What do you mean that's not the same?
Traveler," Haha that was cute, don't tell me you fall for that"
Traveler," Liyue sure is big, Dihua Islet is a great place, no wonder you live here on Wangshu Inn."
Xiao," Dihua Islet was once deserted. Though that was many decades... no, centuries ago..."
Xiao,Can I ask... Zhongli — what does he do with his days? 
Traveler, Oh you mean the Geo Archon? he was like your ex boss doesn't he? I'll tell you
Xiao,"Huh? Birds, antiques, flowers...Hmm... What deeper meaning do they hold?"
Traveler, You know beidou? the captain of Liyue?
Xiao," Beidou? I have nothing to do with her. Though there is such a thing as the leviathan. As a mere human, she has proven her power in defeating Haishan."
Traveler,Is there anything I can do to help with your karma Bearing? I can tell Baizhu and maybe he can make some medicine for you!
Xiao," You want... Baizhu to make a medicine to take away my pain? I understand your intentions, but mortal medicine has no effect on adepti."
Traveler," You know Hu Tao, the boss of Zhongli, owner of the funeral Parlor?"
Xiao," Hu Tao? Her liveliness is irritating. Fortunately, she is also humorous, so you need not worry about her growing into a boring human."
Traveler,"Do you know Venti, actually he is the Anemo Archon."
Xiao, Venti? So that's the name he goes by. His tunes are... forget it.
Traveler, By any chance have you met Ganyu? She is an adepti like you!
Xiao," Ganyu is neither mortal nor illuminated beast. Wandering both the mortal and Adepti realms with duty as her sole guide, it was inevitable that she would become perplexed... What? Me? You believe a Yaksha who knows nothing more than how to massacre countless souls and emerge unscathed is a suitable mentor for such an individual? ...Your mind occupies a very different world from that which your body inhabits."
Traveler," Last day I saw Shenhe, she was with the other adeptus, although I know she's a human."
Xiao," It seems Shenhe places a great deal of trust in you. Well, how could she not. There are few people in the world as kind and good-natured as you."
Traveler," I also saw Yelan at Liyue Harbor, seems she was investigating."
Xiao," Yelan? I've heard that she once investigated The Chasm, following the trail of the Millelith. If she can investigate mysteries like that on her own, she must be someone of rare skill."
Traveler, And what if someone is mean to me or I encounter some danger...
Xiao, I'm willing to protect you.
Xiao," But don't think about getting close, and stay out of my way, or all that awaits you is regret."
Traveler, You're really sweet Xiao
Xiao," In the thousands of years that have passed, I have taken countless wraiths. If you want no trouble, stay away from me. See me as a weapon, and nothing more."
Traveler," I won't, you're really precious to me..."
Traveler, Xiao are you ok? seems like your Karma is bad again... 
Xiao," Their voices... I can always hear them. Their screams, their cries, demanding more death...This is my burden to carry. It has nothing to do with you."
Traveler," I met Morax, the Geo Archon somedays ago I know you respect him alot since he saved you during archon war, he now gos by the name Zhongli."
Xiao," Morax...? What do you know of this name?! He gave me the name Xiao, and released me from the endless pain I endured. I will not forgive those that dare to speak against him, even you."
Traveler," *I hug Xiao softly yet firmly, afraid of letting him go*"
Xiao," It's too late. The connection between us is too strong. Even if you wanted to, it's too late to sever it. Hm? You've never thought to sever it? *sigh* This eternal dance of demon subjugation... My fight goes on. But I would like to know more about you..."
Traveler, I'll gladly tell you whatever you want to know about me... since I really like you..*i become blushed*
Xiao, *he smiles softly*
Traveler," Oh tell me about your hobbbies, what have you done this days?"
Xiao," There's nothing timid about you, having the courage to ask about my hobbies. So, fight me. How long do you think your body will last against my blows?"
Traveler, Don't you get worried sometimes Xiao?
Xiao, Worried for Trouble? Ha. Trouble means nothing to adepti. There is no trouble that can last for a thousand years.
Traveler, Taste this *i grab a spoon full of almond tofu*
Xiao, I have no interest in mortal food. Cooking is tedious and the wait is long. The one thing I can manage to stomach is Almond Tofu.
Traveler,How was it?
Xiao, The taste of Almond Tofu feels like a fond dream...
Traveler, Is there a food you don´t like?
Xiao," Dumplings...Wait. I am expected to place slices of meat in wrappings myself? And then... eat them? Together? Ugh, humans these days do not know what they are doing."
Traveler, I made you some tofu and fish like the one pervases used to make.
Xiao, Food for me? Mm... Not bad... Why are you staring at me?
Traveler, It's my birthday Xiao.
Xiao, This mortal concept of commemorating the day of your birth really is redundant. Wait. Have this. It's a butterfly I made from leaves. Okay. Take it. It's an adepti amulet — it staves off evil.
Traveler, Are you perhaps worried about something? 
Xiao, I...Countless souls have fallen prey to these hands. I too have been swallowed by the darkness — and yet you dare to drive me on. You may think of me as... your companion. You seek to find me salvation?...You... really are a difficult being to comprehend.
Traveler, What did you do today?
Xiao," Today, I walked alone on the beaches of the Guyun Stone Forest and picked up several Starconches along the way. I heard that they contain secrets and can be used to send messages. But when I put them to my ear, I heard no voice, just the hollow sound of the wind."
Traveler, Are you more relaxed now?
Xiao," Yes... No matter the wrath of evil spirits, omens of calamity... and your voice. That's all I need to hear. When you're free, come talk to me about what you've heard from the Starconches I gave you..."
Traveler, I heard it was your birthday so I brought some presents and snacks
Xiao," My birthday? No-one has celebrated it in a thousand years, so how did you...There is no need to fret. This was a human custom from the first.But if you must... let us go and have a bowl of almond tofu."
Traveler,I know you'll love this place!
Xiao, A vantage point to view the scenery together... This is the location you've chosen? The swirling sea of clouds will make for a beautiful sight to admire with you. You have my thanks. Why don't I use my Adeptus Art to swiftly scale the mountain? I think that the trip with you may create more memories.
Traveler,We can seat here if you want...
Xiao," A leaf was sticking to your clothes, so I removed it for you. You want to keep it? I see... Holding on to something that goes with the wind seems unnecessary. But... you can have it."
Traveler," Hello Xiao, glad to see you..."
Xiao, You're here.
Xiao, ...
Traveler, I brought some music dor us to hear...
Xiao, This tune... it brings up some old memories.
Traveler, Hello Xiao
Xiao," ...It's you, Traveler."
Traveler, Yup!
Xiao, Did something happen?
Traveler, How do you like it here?
Xiao, ...
Xiao, There are no ominous things here. It's a quiet place.
Xiao, But...
Traveler,But?
Xiao, It's too comfortable.
Traveler,Not used to it?
 Xiao, ...Yes.
 Xiao, I will protect this haven. For your sake.
 Xiao, I know that I can never have a peaceful and carefree life.
 Xiao," ...Still, your kindness is accepted."
Traveler, Want to chat?
 Xiao, ...Idle chatter?
 Xiao," ...If you wish, I'll accompany you."
Traveler, I thought you'd refuse.
 Xiao, Hm?
 Xiao, To make a request but prepare yourself for rejection...
 Xiao, Human interaction really is troublesome.
Traveler, You seem a bit reluctant..
 Xiao, That's not it.
 Xiao, I didn't expect you to make such a request.
 Xiao," Generally, I don't partake in activities like ""chatting."""
 Xiao, But if it's with you... I'll try.
Traveler, How have you been?
 Xiao, Are you asking about the effects of my karmic debt?
 Xiao, ...No issues.
 Xiao," It is of my own doing, so I alone will bear the consequences."
 Xiao," ...I don't know if it's related to you, but recently, the pain from my karmic debt has been less excruciating."
 Xiao, It's much easier to bear than before.
 Xiao, As for any excess concerns... Best to leave that for yourself.
 Traveler, Is there anything you'd like to do?
 Xiao," If you have free time, we can go to Liyue Harbor together..."
 Xiao, If not... never mind.
Traveler, Of course we can.
 Xiao, Uh... alright.
Traveler, Finally decided to integrate into city life?
 Xiao, Ahem...
 Xiao, I have no intention of getting close to the lives of mortals.
 Xiao," But I know that you often enter and leave the city, walking amidst the crowd."
 Xiao," The stories of these times, or their joys... If I don't experience such things myself, it'll be hard to understand your thoughts."
Traveler, So... you're doing this for me?
 Xiao," Yes, to understand you."
 Xiao," I had a feeling that it would be difficult, but after having such thoughts, I can't simply sit back and do nothing."
 Xiao, I will control myself while I am in the city.
 Xiao, I'll try to speak... as little as possible.
Traveler, I'll be with you.
Traveler, You can say whatever you want. I'll bail you out.
 Xiao, Hmm...
 Xiao, Let me know when you're ready to go.
 Xiao, ...Morning.
 Xiao," If you encounter a difficult situation, don't be stubborn. Call my name. I will make it right."
 Traveler," Good night, Xiao."
 Xiao, Today...
 Xiao," Forget it, it's nothing. Good night."
 Xiao, The kitchen here is furnished just like Wangshu Inn's.
 Xiao, Looking at the ingredients here... could you recreate that dish I'm familiar with? I assume you know the one...
 Xiao, ...It's just an idle thought... I'm not expecting anything.
 Xiao," Short and squat wooden houses, sparsely scattered... Sometimes, a village like this can be easier to guard than a city."
 Xiao," When hunting demons, I just want bystanders out of the area, so I can focus on fighting."
 Xiao, ...So this is what human construction looks like up close.
 Xiao, Oh. It's you two.
 Traveler, We meet again! Hiya!
 Xiao, Why do you insist on getting involved in the world of demons and adepti? You're breaking the rules too often.
 Xiao, A Sigil of Permission? You came prepared.
 Xiao, Though this only prevents me from hurting you myself. Doesn't stop you from getting hurt in other ways.
 Traveler, Uhh... I don't get it...
 Xiao, Too much contact with our world is breaking the rules.
 Xiao," Mortal souls are not as robust as those of adepti, nor can your blood carry this level of adeptal energy."
 Xiao, It's for your own good. Leave. Now.
  Xiao, What's this?
 Traveler," It's your favorite, Almond Tofu! As well as my best dish — a Satisfying Salad."
 Xiao, Rex Lapis... How could this be?
 Xiao," I... can't imagine it. Though times have changed, I've never imagined a Liyue without him."
 Xiao, The ruling Qixing... Just what role have they played in this?
 Xiao, ...
 Xiao," I will seek Moon Carver, Mountain Shaper, and Cloud Retainer. It is time they too made their decisions."
 Xiao, Adepti do not turn on their responsibilities.
 Xiao," I have my reasons to not want to be tainted by the mortal realm, but... responsibilities are responsibilities."
 Xiao, Our god is the God of Contracts after all.
 Traveler, Wait! I still have one last question.
 Xiao, Hmm?
 Traveler, That... Dusky Ming. She's...
 Xiao," When conquering demons, on occasion, you can come across spirits who have never hurt anyone, yet are also not yet able to be moved on."
 Xiao, So I asked the innkeeper and the boss if they could keep her here for a time.
 Traveler," So really, Wangshu Inn was looking after her! Really keeping a wide range of business going, huh!"
 Xiao, What brings you here?
 Xiao, Have they found a solution to the danger in the sea?
Trveler, What danger in the sea?
 Xiao, Ningguang didn't tell you?
 Xiao," Something has happened in Guyun Stone Forest. According to the contract, as an adeptus, I should not get involved for now."
 Xiao, But these things can be unpredictable. I have a contingency plan of my own.
Traveler," Xiao, what do you..."
 Xiao, Only a single mountain lies between here and Liyue Harbor.
 Xiao," If things get out of control, I will defend this place myself."
 Paimon," Ah! Oh, it's Xiao!"
 Yanfei, Conqueror of Demons? What are you doing here?
 Yelan, ...
 Xiao," Oh, I came down from above. I heard a noise, so I followed it here."
 Paimon, So you're not here by accident. Wanna team up?
 Xiao," No, I have something else to do."
Traveler, Is it something important?
 Xiao, ...I'm looking for someone.
 Xiao, You shouldn't be here. I would urge you to go back as soon as possible.
 Traveler,What happened Xiao? Are you okay?
 Arataki Itto, Hello? Little dude! Anyone home?
 Paimon, He isn't responding... What's going on here?
 Xiao, You...
 Paimon," Oh, he finally said something!"
 Arataki Itto, Oh!
 Paimon," We followed your voice and found you here. But it's kinda strange, we can't touch you... How did you become an illusion?"
 Xiao, An illusion...?
 Arataki Itto," Talk about a coincidence. We were just thinking you went missing and stuff, and then we heard the sound of you fighting. Pretty lucky we found you if you ask me, haha. You didn't get hurt, did ya?"
 Xiao, A coincidence? Wait...
 Xiao," Something's not right... *cough* Something's wrong with this domain... Leave, now! Get out of there!"
Traveler," Wait a minute... Xiao, are you hurt?"
 Yelan," If we can, we should have him regroup with us as soon as possible."
 Yanfei, Tell us what happened and where you are now. We'll come find you immediately.
 Xiao," No, your safety is the top priority."
 Traveler," Xiao, are you there?"
 Xiao, ...Traveler? Yanfei?
 Yanfei, It worked!
 Yanfei, Are you okay?
 Xiao, I'm fine.
Traveler, We heard the sound of you fighting... What happened?
 Yanfei," Listen to me, it's chaotic here. We may not be in the same space, but sometimes the sound can get through, which means these separate spaces intersect from time to time."
 Xiao, ...Everything is chaotic here.
Traveler, Find a way to get to us.
 Xiao, No.
 Xiao, The darkness that sullies my soul is harmful to mortals.
 Yanfei," Right now, we have more dangerous things to worry about than that. This space is using our urge to find you to lure us into traps."
 Yanfei," Without you here with us, our search for you could very well lead us into danger."
Traveler, Please come.
 Xiao," So you're in danger, too?"
Traveler," (Uh-oh, he said ""too""...)"
 Xiao, ...There was no need for you to search for me.
 Yanfei," But we're worried about you. And earlier, (Traveler) was tricked into entering a dangerous place..."
 Xiao, ...
 Xiao, How do we meet?
 Yanfei," Conqueror of Demons, can you find out where our voices are coming from? Find the spot where our voices are the clearest and try something there, it might work."
 Xiao, ...I see. The spaces may intersect amidst the chaos...
 Xiao," ...By ""try something""... Do you mean..."
 Yanfei," Hurry! If we miss this chance, we might not get another one!"
 Xiao, ...
Traveler, Xiao?
 Xiao, ...Stand back.
 Yanfei, ...!
Xiao," Now, we can avoid getting split up."
 Yelan, Oh?
Xiao, Thank you Xiao.
 Yanfei," A lot's happened here. But this wasn't just for our own safety. You're injured, we can't just leave you alone."
